x    y    pressure
0.72 0.20 -nan
0.72 0.23 -nan
0.72 0.25 -nan
0.72 0.28 -nan
0.00 0.00 -nan
0.74 0.05 -nan
0.74 0.08 -nan
0.74 0.10 -nan
0.74 0.12 -nan
0.74 0.15 -nan
0.74 0.17 -nan
0.74 0.20 -nan
0.74 0.23 -nan
0.74 0.25 -nan
0.74 0.28 -nan
0.00 0.00 -nan
0.76 0.05 -nan
0.76 0.08 -nan
0.76 0.10 -nan
0.76 0.12 -nan
0.76 0.15 -nan
0.76 0.17 -nan
0.76 0.20 -nan
0.76 0.23 -nan
0.76 0.25 -nan
0.76 0.28 -nan
0.00 0.00 -nan
0.78 0.05 -nan
0.78 0.08 -nan
0.78 0.10 -nan
0.78 0.12 -nan
0.78 0.15 -nan
0.78 0.17 -nan
0.78 0.20 -nan
0.78 0.23 -nan
0.78 0.25 -nan
0.78 0.28 -nan
0.00 0.00 -nan
0.80 0.05 -nan
0.80 0.08 -nan
0.80 0.10 -nan
0.80 0.12 -nan
0.80 0.15 -nan
0.80 0.17 -nan
0.80 0.20 -nan
0.80 0.23 -nan
0.80 0.25 -nan
0.80 0.28 -nan
0.00 0.00 -nan
0.82 0.05 -nan
0.82 0.08 -nan
0.82 0.10 -nan
0.82 0.12 -nan
0.82 0.15 -nan
0.82 0.17 -nan
0.82 0.20 -nan
0.82 0.23 -nan
0.82 0.25 -nan
0.82 0.28 -nan
0.00 0.00 -nan
0.84 0.05 -nan
0.84 0.08 -nan
0.84 0.10 -nan
0.84 0.12 -nan
0.84 0.15 -nan
0.84 0.17 -nan
0.84 0.20 -nan
0.84 0.23 -nan
0.84 0.25 -nan
0.84 0.28 -nan
0.00 0.00 -nan
0.86 0.05 -nan
0.86 0.08 -nan
0.86 0.10 -nan
0.86 0.12 -nan
0.86 0.15 -nan
0.86 0.17 -nan
0.86 0.20 -nan
0.86 0.23 -nan
0.86 0.25 -nan
0.86 0.28 -nan
0.00 0.00 -nan
0.88 0.05 -nan
0.88 0.08 -nan
0.88 0.10 -nan
0.88 0.12 -nan
0.88 0.15 -nan
0.88 0.17 -nan
0.88 0.20 -nan
0.88 0.23 -nan
0.88 0.25 -nan
0.88 0.28 -nan
0.00 0.00 -nan
0.90 0.05 -nan
0.90 0.08 -nan
0.90 0.10 -nan
0.90 0.12 -nan
0.90 0.15 -nan
0.90 0.17 -nan
0.90 0.20 -nan
0.90 0.23 -nan
0.90 0.25 -nan
0.90 0.28 -nan
0.00 0.00 -nan
0.92 0.05 -nan
0.92 0.08 -nan
0.92 0.10 -nan
0.92 0.12 -nan
0.92 0.15 -nan
0.92 0.17 -nan
0.92 0.20 -nan
0.92 0.23 -nan
0.92 0.25 -nan
0.92 0.28 -nan
0.00 0.00 -nan
0.94 0.05 -nan
0.94 0.08 -nan
0.94 0.10 -nan
0.94 0.12 -nan
0.94 0.15 -nan
0.94 0.17 -nan
0.94 0.20 -nan
0.94 0.23 -nan
0.94 0.25 -nan
0.94 0.28 -nan
0.00 0.00 -nan
0.96 0.05 -nan
0.96 0.08 -nan
0.96 0.10 -nan
0.96 0.12 -nan
0.96 0.15 -nan
0.96 0.17 -nan
0.96 0.20 -nan
0.96 0.23 -nan
0.96 0.25 -nan
0.96 0.28 -nan
0.00 0.00 -nan
0.98 0.05 -nan
0.98 0.08 -nan
0.98 0.10 -nan
0.98 0.12 -nan
0.98 0.15 -nan
0.98 0.17 -nan
0.98 0.20 -nan
0.98 0.23 -nan
0.98 0.25 -nan
0.98 0.28 -nan
