x                 ,y              rho[i][j],    u[i][j],    v[i][j],      p[i][j],      T[i][j],      Ma[i][j]
0.2200000000    0.2469000000    0.6910686214    692.2359938853    158.1765025868    48508.4906334964    244.5253600962    2.2651325516
0.2200000000    0.2528000000    0.6614515781    694.9664196613    171.3019621462    45671.7173230667    240.5340725790    2.3021474353
0.2200000000    0.2587000000    0.6312071548    697.4650012429    185.2812981668    42824.2569182555    236.3443596685    2.3415687639
0.2200000000    0.2646000000    0.6002733639    699.6784499002    200.2270018845    39964.3942710138    231.9270914735    2.3837714367
0.2200000000    0.2705000000    0.5684852799    701.5435283664    216.3240544593    37081.8501990788    227.2319999539    2.4293658903
0.2200000000    0.2764000000    0.5353982284    702.9835295304    233.9456310880    34143.1763016771    222.1540884626    2.4795655304
0.2200000000    0.2823000000    0.4993691094    703.9061358260    254.1768538692    31023.9266644983    216.4225007225    2.5376237932
0.2200000000    0.2882000000    0.4422284074    703.7367735967    289.4187617655    26189.7878690293    206.3063822108    2.6426268437
0.2240000000    0.0060000000    1.1765964054    624.9664931967    0.0553879990    101305.8167353596    299.9398600085    1.8000695490
0.2240000000    0.0118800000    1.1764914408    624.9836912261    0.0837648391    101293.1656301886    299.9291602224    1.8001512018
0.2240000000    0.0177600000    1.1763367040    625.0091702198    0.1221812805    101274.5169924664    299.9133873886    1.8002719450
0.2240000000    0.0236400000    1.1761177537    625.0452610746    0.1749623095    101248.1322252074    299.8910701832    1.8004429257
0.2240000000    0.0295200000    1.1758145579    625.0952292279    0.2473623269    101211.6006300384    299.8601678123    1.8006797076
0.2240000000    0.0354000000    1.1754010247    625.1633352980    0.3458810528    101161.7842564585    299.8180223682    1.8010026021
0.2240000000    0.0412800000    1.1748443753    625.2549275228    0.4785403569    101094.7444151836    299.7612948841    1.8014371473
0.2240000000    0.0471600000    1.1741045036    625.3765356558    0.6551206060    101005.6677894782    299.6858997590    1.8020146095
0.2240000000    0.0530400000    1.1731334661    625.5359413886    0.8873466792    100888.8098599853    299.5869518308    1.8027723967
0.2240000000    0.0589200000    1.1718752385    625.7422018876    1.1890074862    100737.4725620177    299.4587394792    1.8037542854
0.2240000000    0.0648000000    1.1702658610    626.0056059086    1.5759903368    100544.0312946810    299.2947354283    1.8050103715
0.2240000000    0.0706800000    1.1682340661    626.3375468521    2.0662135644    100300.0231061772    299.0876540450    1.8065966845
0.2240000000    0.0765600000    1.1657024447    626.7503044495    2.6794473632    99996.3027418159    298.8295596977    1.8085744315
0.2240000000    0.0824400000    1.1625891493    627.2567363622    3.4370230152    99623.2663312363    298.5120252816    1.8110088812
0.2240000000    0.0883200000    1.1588100718    627.8698919028    4.3614429839    99171.1344446481    298.1263339072    1.8139679427
0.2240000000    0.0942000000    1.1542813691    628.6025707602    5.4759166220    98630.2782085652    297.6637109179    1.8175205361
0.2240000000    0.1000800000    1.1489221603    629.4668581390    6.8038561956    97991.5655473986    297.1155688899    1.8217348845
0.2240000000    0.1059600000    1.1426571847    630.4736724257    8.3683736692    97246.7007111112    296.4737459611    1.8266768727
0.2240000000    0.1118400000    1.1354192107    631.6323614010    10.1918192158    96388.5298775410    295.7307181715    1.8324086147
0.2240000000    0.1177200000    1.1271510082    632.9503781524    12.2953978833    95411.2888540505    294.8797693319    1.8389873500
0.2240000000    0.1236000000    1.1178067427    634.4330591610    14.6988925643    94310.7750554817    293.9151065912    1.8464647547
0.2240000000    0.1294800000    1.1073527099    636.0835158199    17.4205113283    93084.4338077770    292.8319153822    1.8548867128
0.2240000000    0.1353600000    1.0957673932    637.9026366944    20.4768671395    91731.3574127553    291.6263529402    1.8642935436
0.2240000000    0.1412400000    1.0830408892    639.8891741339    23.8830888373    90252.2036542424    290.2954847489    1.8747206102
0.2240000000    0.1471200000    1.0691738088    642.0398306186    27.6530516864    88649.0482771515    288.8371728704    1.8861990534
0.2240000000    0.1530000000    1.0541757795    644.3491711583    31.7996841157    86925.1874468001    287.2499234419    1.8987561458
0.2240000000    0.1588800000    1.0380637248    646.8096142549    36.3353213130    85084.9133043487    285.5327087092    1.9124159769
0.2240000000    0.1647600000    1.0208602377    649.4123920295    41.2722278352    83133.3055712864    283.6848089917    1.9272030137
0.2240000000    0.1706400000    1.0025915216    652.1476717183    46.6230848823    81075.9761309997    281.7055984252    1.9431435027
0.2240000000    0.1765200000    0.9832831909    655.0090213848    52.4012356304    78918.6019564043    279.5941546485    1.9602805046
0.2240000000    0.1824000000    0.9629591491    658.0091882559    58.6192008558    76666.8956264454    277.3494659861    1.9787205646
0.2240000000    0.1882800000    0.9416690322    661.1409139658    65.2854989441    74329.4707218143    274.9730123505    1.9985074327
0.2240000000    0.1941600000    0.9194653749    664.3701606283    72.4078803739    71915.1339209625    272.4659483668    2.0196111881
0.2240000000    0.2000400000    0.8964150226    667.6472343418    79.9979039601    69434.0474533130    269.8302746039    2.0419578335
0.2240000000    0.2059200000    0.8725640363    670.9184494830    88.0741605627    66893.8874897159    267.0646741968    2.0654816725
0.2240000000    0.2118000000    0.8479446437    674.1864869477    96.6621031531    64301.1772158359    264.1671083438    2.0903012162
0.2240000000    0.2176800000    0.8225953833    677.4450296638    105.7849819350    61663.1140128265    261.1358540577    2.1165171096
0.2240000000    0.2235600000    0.7965527648    680.6730468668    115.4664668688    58986.5752097865    257.9680683187    2.1442019718
0.2240000000    0.2294400000    0.7698511033    683.8456130607    125.7328407418    56278.1749654175    254.6599141406    2.1734353851
0.2240000000    0.2353200000    0.7425217551    686.9350993836    136.6144521676    53544.2029771962    251.2063395545    2.2043118526
0.2240000000    0.2412000000    0.7145915710    689.9108684418    148.1472461505    50790.4879820029    247.6006701429    2.2369461591
0.2240000000    0.2470800000    0.6860798801    692.7387212058    160.3750535471    48022.1351932875    243.8339095724    2.2714813223
0.2240000000    0.2529600000    0.6569929751    695.3801620625    173.3535038381    45243.0581747545    239.8935364153    2.3081019773
0.2240000000    0.2588400000    0.6273135354    697.7913680086    187.1573550507    42455.0993320712    235.7613026713    2.3470586896
0.2240000000    0.2647200000    0.5969781179    699.9216742466    201.8958078317    39656.1738126009    231.4087180435    2.3887175248
0.2240000000    0.2706000000    0.5658203787    701.7112866572    217.7499476861    36835.6371950050    226.7863551744    2.4336782480
0.2240000000    0.2764800000    0.5333934056    703.0881533197    235.0887184013    33959.6339240998    221.7903658638    2.4831418515
0.2240000000    0.2823600000    0.4980673172    703.9637401085    254.9883246739    30904.1831058975    216.1506486881    2.5403392398
0.2240000000    0.2882400000    0.4420197365    703.7703422820    289.6009480849    26166.1418398688    206.2174201599    2.6435453995
0.2280000000    0.0070000000    1.1764980765    624.9828597039    0.0759594837    101293.9652110718    299.9298361100    1.8001467756
0.2280000000    0.0128600000    1.1763606952    625.0053616561    0.1133229001    101277.4081391542    299.9158324602    1.8002536317
0.2280000000    0.0187200000    1.1761608388    625.0382538892    0.1631815271    101253.3238686361    299.8954613669    1.8004095510
0.2280000000    0.0245800000    1.1758817107    625.0842425938    0.2306901394    101219.6911650887    299.8670117466    1.8006274922
0.2280000000    0.0304400000    1.1755002965    625.1470714679    0.3219840985    101173.7419849197    299.8281392106    1.8009253273
0.2280000000    0.0363000000    1.1749870514    625.2315549458    0.4445015124    101111.9256316466    299.7758342664    1.8013260511
0.2280000000    0.0421600000    1.1743054544    625.3436383893    0.6072471632    101029.8578502584    299.7063767131    1.8018581196
0.2280000000    0.0480200000    1.1734115906    625.4904530084    0.8209977535    100922.2746173567    299.6152923484    1.8025557823
0.2280000000    0.0538800000    1.1722539088    625.6803398560    1.0984402920    100783.0089175300    299.4973266703    1.8034592964
0.2280000000    0.0597400000    1.1707732852    625.9228205864    1.4542308079    100605.0066867384    299.3464482832    1.8046149258
0.2280000000    0.0656000000    1.1689034986    626.2284975169    1.9049600400    100380.3948607924    299.1558918748    1.8060746541
0.2280000000    0.0714600000    1.1665721827    626.6088722984    2.4690165541    100100.6097884326    298.9182467103    1.8078955676
0.2280000000    0.0773200000    1.1637022748    627.0760811315    3.1663453987    99756.5881315272    298.6255916713    1.8101389031
0.2280000000    0.0831800000    1.1602139222    627.6425543607    4.0181106510    99339.0151646344    298.2696723038    1.8128687973
0.2280000000    0.0890400000    1.1560267507    628.3206182702    5.0462812122    98838.6179361455    297.8421098385    1.8161508134
0.2280000000    0.0949000000    1.1510623460    629.1220654197    6.2731688954    98246.4842109061    297.3346275702    1.8200503550
0.2280000000    0.1007600000    1.1452467671    630.0577253653    7.7209543634    97554.3836615676    296.7392771675    1.8246310963
0.2280000000    0.1066200000    1.1385128948    631.1370690288    9.4112385658    96755.0662957985    296.0486469558    1.8299535606
0.2280000000    0.1124800000    1.1308024370    632.3678770194    11.3646547555    95842.5149113452    295.2560360304    1.8360739651
0.2280000000    0.1183400000    1.1220674428    633.7559954758    13.6005696761    94812.1330990252    294.3555817915    1.8430434231
0.2280000000    0.1242000000    1.1122712322    635.3051936664    16.1368936132    93660.8570468640    293.3423333522    1.8509075568
